report_board,report_datetime,report_title,row_count
Minnesota Board of Pharmacy,4/13/2026 12:00:22 PM,Facility List - PH,2171

facility_name,license_type,license_nbr,description,grant_date,expire_date,address_line1,address_line2,city,county,state,zip,e_mail
12Pharma LLC,PH,267279,Active,11/12/2025,06/30/2026,19209 Chennault Way,STE N-P,Gaithersburg,,MD,20878,bop+mn@12pharma.com
1Family1Health Pharmacy Inc. (dba) 1Family1Health Pharmacy,PH,267321,Active,01/07/2026,06/30/2026,2803 SW 27th Ave,,Coconut Grove,,FL,33133,1Family1HealthPharmacy@gmail.com
1st America Infusion Services LLC (dba) Advanced InfusionCare,PH,267000,Active,09/03/2024,06/30/2026,10 Warren Rd,Ste 220,Cockeysville,,MD,21030,licensingcoc@aiscaregroup.com
"1st America Infusion Services, LLC (dba) Advanced InfusionCare",PH,266897,Active,03/15/2024,06/30/2026,"18451 Dallas Parkway, Suite 130",,Dallas,,TX,75287,licensingdalinf@aiscaregroup.com
"1st America Infusion Services, LLC (dba) Advanced InfusionCare",PH,265660,Active,08/29/2018,06/30/2026,"1st American Infusion Services, Llc",212 Northside Drive,Valdosta,,GA,31602,licensingvld@aiscaregroup.com
"1st Choice Pharmacy, LLC (dba) Workers' Choice Pharmacy",PH,266585,Active,06/09/2022,06/30/2026,928 Jaymor Rd,Ste. A200,Southampton,,PA,18966,pharmacy@rx1st.com
866 East Tremont Pharmacy LLC (dba) Boca Pharmacy,PH,266326,Active,05/14/2021,06/30/2026,864B East Tremont Ave,,Bronx,,NY,10460,jacob@bocapharmacygroup.com
"904 Prospect Pharmacy, Inc. (dba) BOCA Pharmacy",PH,265165,Active,09/22/2016,06/30/2026,904 Prospect Ave,,Bronx,,NY,10459,leah@bocapharmacygroup.com
A & A Drug Co (dba) Sav-Rx Pharmacy,PH,266316,Active,04/29/2021,06/30/2026,1855 N Airport Rd,,Fremont,,NE,68025,gov@savrx.com
"A & E Pharmacy, LLC",PH,266412,Active,08/31/2021,06/30/2026,1265 Grey Fox Rd,,Arden Hills,Ramsey,MN,55112,luke.atwood@aepharmacy.org
A & S Drugs,PH,263500,Active,03/22/2010,06/30/2026,101 West Main Street,,Pipestone,Pipestone,MN,56164,asdrug@iw.net
A Dobson Inc. (dba) Medsave Long Term Care Pharmacy,PH,265731,Active,12/20/2018,06/30/2026,427 Mag Seven Ct SW Ste 101,,Bemidji,Beltrami,MN,56601,angie@medsaveltc.com
"A.E. Pharmacy, LLC (dba) Amazon Pharmacy #001",PH,266149,Active,08/06/2020,06/30/2026,4500 S. Pleasant Valley Road,Ste 201,Austin,,TX,78744,pau2-licensing@pillpack.com
Abbvie Endocrinology Inc. (dba) Pharmacy Solutions,PH,263184,Active,05/21/2008,06/30/2026,"1 North Waukegan Rd, Ap5-Ne",,North Chicago,,IL,60064,pslicensing@abbvie.com
Abitacare LLC (dba) Vital Care Rx,PH,266546,Active,04/05/2022,06/30/2026,1501 23rd Ave,Ste B,Meridian,,MS,39301,licensing@vitalcarerx.com
"Absolute Pharmacy, LLC (dba) Absolute Pharmacy",PH,264506,Active,07/15/2014,06/30/2026,"16011 N Nebraska Ave, Suite 103",,Lutz,,FL,33549,Andreas@absoluterx.com
"Acadia St. Paul JV, LLC (dba) Capital Park Mental Health Hospital",PH,267149,Active,06/24/2025,06/30/2026,559 Capitol Boulevard,,St Paul,Ramsey,MN,55103,acooper@polsinelli.com
"Acariahealth Pharmacy #11, Inc.",PH,263741,Active,08/01/2011,06/30/2026,"1311 W Sam Houston Pkwy N, Suite 130",,Houston,,TX,77043,licensing@acariahealth.com
"AcariaHealth Pharmacy #26, Inc.",PH,266404,Active,08/02/2021,06/30/2026,8715 Henderson Road,,Tampa,,FL,33634,exactus@wellcare.com
Access to Care LLC (dba) AvevoRx,PH,266883,Active,02/21/2024,06/30/2026,3645 N Briarwood Lane,Suite D,Muncie,,IN,47304,dshaw@avevorx.com
Accredo Health Group Inc.,PH,261621,Active,11/15/1998,06/30/2026,"3000 Ericsson Drive, Suite 100",,Warrendale,,PA,15086,Lindy.Porco@evernorth.com
Accredo Health Group Inc.,PH,261914,Active,03/15/2000,06/30/2026,2915 Waters Road,Suite 109,Eagan,Dakota,MN,55121,RegulatoryManagement@express-scripts.com
Accredo Health Group Inc.,PH,262450,Active,06/07/2004,06/30/2026,1620 Century Center Parkway Suite 109,,Memphis,,TN,38134,lynette.washington@accredohealth.com
"Accredo Health Group, Inc",PH,264021,Active,01/14/2013,06/30/2026,"650 W Grand Ave, Suite 102",,Elmhurst,,IL,60126,jan.costis@accredohealth.com
"Accredo Health Group, Inc.",PH,264243,Active,10/29/2013,06/30/2026,6272 Lee Vista Blvd,Suite 100,Orlando,,FL,32822,joseph.casacciajr@evernorth.com
"Accredo Health Group, Inc.",PH,264276,Active,12/18/2013,06/30/2026,"19060 Q St, Suite 101",,Omaha,,NE,68135,Joseph.Carnazzo@accredoHealth.com
"Accredo Health Group, Inc.",PH,264786,Active,07/10/2015,06/30/2026,"2 Boulden Circle, Suite 1",,New Castle,,DE,19720,amcampagna@express-scripts.com
"Accredo Health Group, Inc.",PH,266944,Active,07/12/2024,06/30/2026,45 Route 46 East,Suite 609,Pine Brook,,NJ,07058,regulatorymanagement@express-scripts.com
"Accredo Health Group, Inc.",PH,266385,Active,06/30/2021,06/30/2026,4750 East 450 South,Suite A,Whitestown,,IN,46075,amanda_prince@express-scripts.com
"Accredo Health Group, Inc.",PH,265913,Active,08/14/2019,06/30/2026,2040 W. Rio Salado Parkway,Suite 101B,Tempe,,AZ,85281,LMGirten@express-scripts.com
"Accredo Health Group, Inc. ",PH,266061,Active,04/24/2020,06/30/2026,11411 Strang Line Rd,Ste A,Lenexa,,KS,66215,Janel.Potter@evernorth.com
"Accredo Health Group, Inc.",PH,266734,Active,06/08/2023,06/30/2026,730 Cool Springs Blvd.,Suite 301,Franklin,,TN,37067,vince.fayette@accredoHealth.com
Accudose Pharmacy LLC (dba) Accudose Pharmacy,PH,266549,Active,04/12/2022,06/30/2026,685 Boardman Canfield Rd,Suite 3,Boardman,,OH,44512,mario@accudoserx.com
"Accumix Pharmacy, L.L.C.",PH,266560,Active,05/03/2022,06/30/2026,655 W Grand,Suite 240,Elmhurst,,IL,60126,marcoo@accumixrx.com
"ACH Pharmacy, LLC (dba) Byron Pharmacy",PH,267348,Active,02/18/2026,06/30/2026,13355 Dix Toledo Rd,,South Gate,,MI,48195,achbyronpharmacy@gmail.com
Adegen Pharmacy LLC (dba) Adegen Pharmacy,PH,267112,Active,03/17/2025,06/30/2026,1620 Gateway Circle,,Grove City,,OH,43123,acadia@adegen.com
"Adelaide Apothecary, LLC (dba) Adelaide Apothecary",PH,266438,Active,10/12/2021,06/30/2026,"160 Moore Drive, Suite 105",,Lexington,,KY,40503,jill.smith@adelaideapothecary.com
Adelia Compounding LLC,PH,267344,Active,01/30/2026,06/30/2026,1801 Royal Lane,Suite 500,Farmers Branch,,TX,75229,adeliapharmacy@basichi.com
"AdvanceCare Texas, Inc. (dba) AdvanceCare Dallas",PH,267230,Active,10/10/2025,06/30/2026,3818 Cedar Springs Rd,#104,Dallas,,TX,75219,contracting@advancecarerx.net
