facility_name,city,zip5
"Goodrich Pharmacy, Inc. (dba) Goodrich Pharmacy - Anoka",Anoka,55303
"A & E Pharmacy, LLC",Arden Hills,55112
Trinity Pharmacy LLC,Arden Hills,55112
Optimedicus LLC,Bloomington,55420
"Consonus Pharmacy Services Minnesota, LLC (dba) Consonus Pharmacy Minnesota",Eagan,55121
RedPharm Drug,Eden Prairie,55344
Rolseth Drug Co.,Forest Lake,55025
Total Care Pharmacy,Fridley,55432
Hennepin County (dba) (NorthPoint Health Center Pharmacy),Minneapolis,55411
Hikma Pharmacy Inc.,Minneapolis,55454
Lake Cedar Pharmacy LLC,Minneapolis,55406
Nicollet Pharmacy L.L.C. ,Minneapolis,55408
Mix Pharmacy LLC,Oakdale,55128
Coborn’s Incorporated (dba) Coborn's Pharmacy #2033,Ramsey,55303
Robbinsdale Pharmacy Inc,Robbinsdale,55422
Setzer Pharmacy Inc.,Roseville,55113
JJEL LLC (dba) Valley Drug,Stillwater,55082
"Rx Artisans, Inc.",Wayzata,55391
Medicine Chest Pharmacy Inc. (dba) Medicine Chest Pharmacy,White Bear Lake,55110
