GEOID,med_hh_income,total_pop,carless_rate,total_hh,dist_m,qato_desert,walk_inaccessible,drive_inaccessible,carless_pop,car_pop,mwdr_pop,mwdr_score,Qinc
27053000101,79821,3087,0.0506,1127,1835.3611891684302,1,1,0,156.2022,2930.7978000000003,156.2022,0.0506,2
27053000102,84524,5038,0.2113,1860,3120.032526235605,1,1,0,1064.5294,3973.4705999999996,1064.5294,0.2113,2
27053000300,91681,3112,0.0424,1273,1604.405193646298,1,1,0,131.9488,2980.0512,131.9488,0.0424,3
27053000601,97120,4206,0.0513,1909,1009.2026307586624,1,1,0,215.7678,3990.2322,215.7678,0.0513,3
27053000603,130625,3297,0.0225,1375,1307.7289090126571,1,1,0,74.18249999999999,3222.8175,74.18249999999999,0.022499999999999996,4
27053001100,82466,2216,0.0529,946,465.76438662426165,0,0,0,117.22640000000001,2098.7736,0.0,0.0,2
27053001700,65792,2232,0.0912,1009,1671.300375700328,1,1,0,203.5584,2028.4416,203.5584,0.0912,1
27053002200,63125,1342,0.1676,370,482.2153083803578,0,0,0,224.9192,1117.0808,0.0,0.0,1
27053002400,79727,2330,0.1042,1325,1638.007811469564,1,1,0,242.786,2087.214,242.786,0.1042,2
27053002700,81167,2660,0.1121,856,1938.5565717502636,1,1,0,298.18600000000004,2361.814,298.18600000000004,0.11210000000000002,2
27053003200,55486,1957,0.1809,669,2235.44490641192,1,1,0,354.0213,1602.9787,354.0213,0.1809,1
27053003300,61278,2656,0.0705,638,1592.1358317620436,1,1,0,187.248,2468.752,187.248,0.0705,1
27053003801,42361,2731,0.3555,1488,800.3383289747302,0,0,0,970.8705,1760.1295000000002,0.0,0.0,1
27053003802,34931,3895,0.3935,958,407.5894705203182,0,0,0,1532.6825000000001,2362.3175,0.0,0.0,1
27053005901,25625,3017,0.4733,1443,482.8508831617148,0,0,0,1427.9461,1589.0538999999999,0.0,0.0,1
27053005902,47641,3308,0.3029,1119,91.71938444677804,0,0,0,1001.9932,2306.0068,0.0,0.0,1
27053006800,46943,4059,0.2291,2165,462.5763217663506,0,0,0,929.9168999999999,3129.0831000000003,0.0,0.0,1
27053007700,76534,5997,0.1048,3665,440.5707295903716,0,0,0,628.4856,5368.5144,0.0,0.0,2
27053007801,54250,1830,0.1178,713,251.32725795131702,0,0,0,215.574,1614.426,0.0,0.0,1
27053008100,75938,3753,0.1062,1873,388.8578148850942,0,0,0,398.5686,3354.4314,0.0,0.0,2
27053008200,51191,3846,0.2841,2133,439.5929448888841,0,0,0,1092.6486,2753.3514,0.0,0.0,1
27053008300,70404,2145,0.1503,579,735.7425168695493,0,0,0,322.39349999999996,1822.6065,0.0,0.0,1
27053008400,93958,2466,0.068,706,954.4287121014385,1,1,0,167.68800000000002,2298.312,167.68800000000002,0.068,3
27053008500,64625,3639,0.0665,1639,575.771081236182,0,0,0,241.9935,3397.0065,0.0,0.0,1
27053009500,76458,2476,0.1186,1012,1113.9777579899403,1,1,0,293.6536,2182.3464,293.6536,0.1186,2
27053009600,86734,3371,0.0806,1315,1028.7589085045076,1,1,0,271.7026,3099.2974,271.7026,0.0806,2
27053010600,156574,3154,0.0111,1260,1463.7768639201224,1,1,0,35.0094,3118.9906,35.0094,0.0111,4
27053010700,143080,2574,0.0051,985,1913.123801220905,1,1,0,13.127400000000002,2560.8726,13.127400000000002,0.0051,4
27053011000,109722,3663,0.005,1590,659.7709345589477,0,0,0,18.315,3644.685,0.0,0.0,3
27053011703,156722,3917,0.0038,1597,1764.507858430641,1,1,0,14.8846,3902.1153999999997,14.8846,0.0038,4
27053011704,173382,3283,0.0415,1350,1486.5135862091574,1,1,0,136.24450000000002,3146.7555,136.24450000000002,0.0415,4
27053011800,121450,4513,0.0094,1921,1902.9368659154447,1,1,0,42.422200000000004,4470.5778,42.422200000000004,0.0094,4
27053011998,97766,4083,0.0501,2015,1065.0904271827947,1,1,0,204.5583,3878.4417,204.5583,0.0501,3
27053012001,146117,6420,0.0176,2560,1408.8326696442416,1,1,0,112.992,6307.008000000001,112.992,0.0176,4
27053012003,97125,5519,0.0216,2449,88.55899772196548,0,0,0,119.2104,5399.7896,0.0,0.0,3
27053012101,84185,3011,0.1491,1174,2055.717392203029,1,1,0,448.94010000000003,2562.0598999999997,448.94010000000003,0.1491,2
27053012102,94704,3615,0.0,1453,763.8451673964872,0,0,0,0.0,3615.0,0.0,0.0,3
27053020101,159028,3223,0.0371,1213,669.4890081525987,0,0,0,119.5733,3103.4267,0.0,0.0,4
27053020102,94198,2550,0.0488,1148,469.5198057796969,0,0,0,124.44000000000001,2425.56,0.0,0.0,3
27053020201,46094,2697,0.2394,940,1622.872935254372,1,1,0,645.6618,2051.3381999999997,645.6618,0.2394,1
27053020202,69549,5537,0.0873,1912,2152.59084733884,1,1,0,483.3801,5053.6199,483.3801,0.0873,1
27053020301,93879,2847,0.0515,816,1145.1246811312071,1,1,0,146.6205,2700.3795,146.6205,0.0515,3
27053020302,60983,2925,0.1864,998,1678.9676380460166,1,1,0,545.22,2379.7799999999997,545.22,0.1864,1
27053020303,94095,4104,0.0552,1305,904.2121984374172,1,1,0,226.5408,3877.4592,226.5408,0.0552,3
27053020304,65288,3732,0.0254,1259,643.1678143110374,0,0,0,94.7928,3637.2072000000003,0.0,0.0,1
27053020400,60625,5050,0.0653,2037,789.3114246106951,0,0,0,329.765,4720.235,0.0,0.0,1
27053020500,87228,3705,0.0742,1281,1921.0306081500835,1,1,0,274.911,3430.089,274.911,0.0742,2
27053020600,79457,2214,0.0369,758,2118.5806090105843,1,1,0,81.6966,2132.3034,81.6966,0.0369,2
27053020700,90185,4066,0.0586,1706,559.5291343216245,0,0,0,238.2676,3827.7324,0.0,0.0,2
27053020801,78462,1872,0.0756,886,788.3007594123234,0,0,0,141.5232,1730.4768,0.0,0.0,2
27053020804,76325,2966,0.082,1232,530.3145738231498,0,0,0,243.21200000000002,2722.788,0.0,0.0,2
27053020902,110250,2513,0.0,928,1456.6585332041193,1,1,0,0.0,2513.0,0.0,0.0,3
27053020903,99482,2928,0.0,1147,1632.8539056273128,1,1,0,0.0,2928.0,0.0,0.0,3
27053021001,82409,6415,0.0702,2522,1441.158366800502,1,1,0,450.33299999999997,5964.6669999999995,450.33299999999997,0.0702,2
